"","X","date","PL","plr"
"406",406,2008-11-24,0,0
"407",407,2008-11-25,29613.7621000003,0
"408",408,2008-11-26,0,0
"409",409,2008-11-28,0,0
"410",410,2008-12-01,0,0
"411",411,2008-12-02,469654.872017891,0
"412",412,2008-12-03,0,0
"413",413,2008-12-04,0,0
"414",414,2008-12-05,0,0
"415",415,2008-12-08,0,0
"416",416,2008-12-09,57484.8269616134,0
"417",417,2008-12-10,0,0
"418",418,2008-12-11,0,0
"419",419,2008-12-12,0,0
"420",420,2008-12-15,0,0
"421",421,2008-12-16,432057.733650137,0
"422",422,2008-12-17,0,0
"423",423,2008-12-18,0,0
"424",424,2008-12-19,0,0
"425",425,2008-12-22,0,0
"426",426,2008-12-23,-151381.539590578,0
"427",427,2008-12-24,0,0
"428",428,2008-12-29,0,0
"429",429,2008-12-30,384107.305404283,0
"430",430,2008-12-31,0,0
"431",431,2009-01-05,0,0
"432",432,2009-01-06,-156891.09392,0
"433",433,2009-01-07,0,0
"434",434,2009-01-08,0,0
"435",435,2009-01-09,0,0
"436",436,2009-01-12,0,0
"437",437,2009-01-13,-70060.151408343,0
"438",438,2009-01-14,0,0
"439",439,2009-01-15,0,0
"440",440,2009-01-16,0,0
"441",441,2009-01-20,-167022.504640824,0
"442",442,2009-01-21,0,0
"443",443,2009-01-22,0,0
"444",444,2009-01-23,0,0
"445",445,2009-01-26,0,0
"446",446,2009-01-27,41906.4292416264,0
"447",447,2009-01-28,0,0
"448",448,2009-01-29,0,0
"449",449,2009-01-30,0,0
"450",450,2009-02-02,0,0
"451",451,2009-02-03,296031.138515434,0
"452",452,2009-02-04,0,0
"453",453,2009-02-05,0,0
"454",454,2009-02-06,0,0
"455",455,2009-02-09,0,0
"456",456,2009-02-10,687826.928092723,0
"457",457,2009-02-11,0,0
"458",458,2009-02-12,0,0
"459",459,2009-02-13,0,0
"460",460,2009-02-17,145178.563196015,0
"461",461,2009-02-18,0,0
"462",462,2009-02-19,0,0
"463",463,2009-02-20,0,0
"464",464,2009-02-23,0,0
"465",465,2009-02-24,209641.160839999,0
"466",466,2009-02-25,0,0
"467",467,2009-02-26,0,0
"468",468,2009-02-27,0,0
"469",469,2009-03-02,0,0
"470",470,2009-03-03,-164061.713,0
"471",471,2009-03-04,0,0
"472",472,2009-03-05,0,0
"473",473,2009-03-06,0,0
"474",474,2009-03-09,0,0
"475",475,2009-03-10,915720.243259999,0
"476",476,2009-03-11,0,0
"477",477,2009-03-12,0,0
"478",478,2009-03-13,0,0
"479",479,2009-03-16,0,0
"480",480,2009-03-17,20420.6154558081,0
"481",481,2009-03-18,0,0
"482",482,2009-03-19,0,0
"483",483,2009-03-20,0,0
"484",484,2009-03-23,0,0
"485",485,2009-03-24,78234.7648332292,0
"486",486,2009-03-25,0,0
"487",487,2009-03-26,0,0
"488",488,2009-03-27,0,0
"489",489,2009-03-30,0,0
"490",490,2009-03-31,92634.3972200068,0
"491",491,2009-04-01,0,0
"492",492,2009-04-02,0,0
"493",493,2009-04-03,0,0
"494",494,2009-04-06,0,0
"495",495,2009-04-07,190390.095796125,0
"496",496,2009-04-08,0,0
"497",497,2009-04-09,0,0
"498",498,2009-04-14,56689.5811999994,0
"499",499,2009-04-15,0,0
"500",500,2009-04-16,0,0
"501",501,2009-04-17,0,0
"502",502,2009-04-20,0,0
"503",503,2009-04-21,-142536.079097385,0
"504",504,2009-04-22,0,0
"505",505,2009-04-23,0,0
"506",506,2009-04-24,0,0
"507",507,2009-04-27,0,0
"508",508,2009-04-28,131100.705119355,0
"509",509,2009-04-29,0,0
"510",510,2009-04-30,0,0
"511",511,2009-05-04,0,0
"512",512,2009-05-05,91359.8104400002,0
"513",513,2009-05-06,0,0
"514",514,2009-05-07,0,0
"515",515,2009-05-08,0,0
"516",516,2009-05-11,0,0
"517",517,2009-05-12,24286.2833200012,0
"518",518,2009-05-13,0,0
"519",519,2009-05-14,0,0
"520",520,2009-05-15,0,0
"521",521,2009-05-18,0,0
"522",522,2009-05-19,-83773.6590597642,0
"523",523,2009-05-20,0,0
"524",524,2009-05-22,0,0
"525",525,2009-05-26,-121218.282986164,0
"526",526,2009-05-27,0,0
"527",527,2009-05-28,0,0
"528",528,2009-05-29,0,0
"529",529,2009-06-02,-16044.5571000001,0
"530",530,2009-06-03,0,0
"531",531,2009-06-04,0,0
"532",532,2009-06-05,0,0
"533",533,2009-06-08,0,0
"534",534,2009-06-09,-57935.8280357485,0
"535",535,2009-06-10,0,0
"536",536,2009-06-11,0,0
"537",537,2009-06-12,0,0
"538",538,2009-06-15,0,0
"539",539,2009-06-16,40218.6076310411,0
"540",540,2009-06-17,0,0
"541",541,2009-06-18,0,0
"542",542,2009-06-19,0,0
"543",543,2009-06-22,0,0
"544",544,2009-06-23,-49661.4275924664,0
"545",545,2009-06-24,0,0
"546",546,2009-06-25,0,0
"547",547,2009-06-26,0,0
"548",548,2009-06-29,0,0
"549",549,2009-06-30,178671.785856101,0
"550",550,2009-07-01,0,0
"551",551,2009-07-02,0,0
"552",552,2009-07-06,0,0
"553",553,2009-07-07,-171450.12014125,0
"554",554,2009-07-08,0,0
"555",555,2009-07-09,0,0
"556",556,2009-07-10,0,0
"557",557,2009-07-13,0,0
"558",558,2009-07-14,66787.1087,0
"559",559,2009-07-15,0,0
"560",560,2009-07-16,0,0
"561",561,2009-07-17,0,0
"562",562,2009-07-20,0,0
"563",563,2009-07-21,-199834.850264655,0
"564",564,2009-07-22,0,0
"565",565,2009-07-23,0,0
"566",566,2009-07-24,0,0
"567",567,2009-07-27,0,0
"568",568,2009-07-28,176528.3822,0
"569",569,2009-07-29,0,0
"570",570,2009-07-30,0,0
"571",571,2009-07-31,0,0
"572",572,2009-08-03,0,0
